"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","lon","lat"
"RealJackGillies","Christian ~ Constitutional Conservative ~Tea Party~Pro-Life & Traditional Family ~Pro-Israel ~ HAVE NEVER VOTED FOR A DEMOCRAT & NEVER WILL",7307,4503,13012,4184,NA,"***JACK GILLIES***",2015-10-19 15:46:12,FALSE,FALSE,"RealJackGillies","Pompano Beach, Florida   USA","en","3948421274",17,FALSE,"http://pbs.twimg.com/profile_images/710246688472977408/ABWhR1qs_normal.jpg",-80.1247667,26.2378597
"Redeemed1952","LOVE THE #BOOK, #SAVED BY GOD thru #JESUS GOD THE SON~#BANISLAM ALT @PatriotMike1 #Nationalist #NRA #TrumpPotus ~ https://t.co/GpAuXwxBt5",255842,31570,40706,32566,"https://t.co/xOBgadutwC","TRUMP the WinnerÌ†ΩÌ±ç‚òïÔ∏è",2010-12-07 04:22:34,FALSE,FALSE,"Redeemed1952","  EASTERN NC‚òïÔ∏è","en","223719518",577,FALSE,"http://pbs.twimg.com/profile_images/797091407664205824/kUcKHxWp_normal.jpg",-79.0192997,35.7595731
"AdamSmithFan","Fisherman.  I cause happiness wherever I go - sometimes when I go. ŒúŒüŒõŒ©Œù ŒõŒëŒíŒï",4623,290,1205,511,NA,"Ì†ºÌ∑®Ì†ºÌ∑¶AdamSmithÌ†ºÌ∑∫Ì†ºÌ∑∏",2016-09-11 20:03:33,FALSE,FALSE,"AdamSmithFan","Canada","en","775062242052059136",10,FALSE,"http://pbs.twimg.com/profile_images/775109683304538113/PW3deiLu_normal.jpg",-106.346771,56.130366
"rubbercitychris","We are a movement . I am dedicated to none . Loyal to all . I don't forgive or forget . I love all .  Follow me for the latest .",11717,1982,11249,5000,NA,"Deplorably Anonymous",2016-02-22 02:38:04,FALSE,FALSE,"rubbercitychris","parts unknown","en","701596791444267008",32,FALSE,"http://pbs.twimg.com/profile_images/800508273883549697/sY-bDVZx_normal.jpg",NA,NA
"Agent_C","The thoughts of others
Were light and fleeting,
Of lovers' meeting
Or luck or fame.
Mine were of trouble,
And mine were steady;
So I was ready
When trouble came",15279,161,11,300,NA,"One Partisan Kafir",2008-05-24 22:43:15,FALSE,FALSE,"Agent_C","","en","14894463",21,FALSE,"http://pbs.twimg.com/profile_images/758294682619277312/Ur6aGbF0_normal.jpg",NA,NA
"maconnal","Christian, Constitutional Conservative Patriot, MSc Ed Tech, USAF Ret. Veteran, Air Traffic Control, Cancer Patient, Computing Teacher, Survivor",17609,398,1939,133,"https://t.co/zCYtez2IFA","Maconnal",2015-12-05 23:34:06,FALSE,FALSE,"maconnal","Suffolk, England","en","4387977869",99,FALSE,"http://pbs.twimg.com/profile_images/735195640565661696/XswwtNER_normal.jpg",0.9707801,52.1872472
"MarcAardvark","",60306,2165,11722,4977,NA,"FalconCrest",2011-05-31 01:05:39,FALSE,FALSE,"MarcAardvark","Mount Crumpit","en","308212534",130,FALSE,"http://pbs.twimg.com/profile_images/678350288651087873/fcJidU5N_normal.jpg",-123.1055555,49.7144444
"CarolPeter2","tea party mom, hard workin self employed custom woodworker. damn good at what I do. Love my children most of all. son in USNavy. true patriot.",3747,906,8185,1382,NA,"Carol Peter",2011-11-05 16:58:53,FALSE,FALSE,"CarolPeter2","louisiana","en","405678465",13,FALSE,"http://pbs.twimg.com/profile_images/798941209465126912/h0tBueUW_normal.jpg",-91.9623327,30.9842977
"handyman118","conservative, christian, #1A, #2A, #MAGA, limited government, anti-illegal immigration, #BuildTheWall, #NewRight, more state cntrl #Educ, #BlueLivesMatter",885,194,965,418,NA,"Kris Harden",2016-11-13 01:42:47,FALSE,FALSE,"handyman118","Detroit Lakes, MN","en","797615660935315458",8,FALSE,"http://pbs.twimg.com/profile_images/802893325284110336/XrCJhPXF_normal.jpg",-95.8453253,46.8171808
"BaconGrease","Ped0s should die NW0 sucks Cancer sucks ISISnallterroristssuxpigdick Put me on a list I will block your ass.",1131,130,719,210,NA,"ISISSUXPIGDICK",2016-11-23 08:56:18,FALSE,FALSE,"BaconGrease","EVERYWHERE","en","801348636361838592",0,FALSE,"http://pbs.twimg.com/profile_images/802963916712251393/_LLN24hH_normal.jpg",-91.8479332,37.6658757
"Sinelari","Extraterrestrial visiting this planet for a 150 year term.

oh, that up there pic? That's the street i sleep on lookin up in the morning.",8469,732,2428,1858,NA,"#Infidel Sinelari",2016-10-17 20:55:19,FALSE,FALSE,"Sinelari","Los Angeles, CA","en","788121231169953792",12,FALSE,"http://pbs.twimg.com/profile_images/788125561872748544/Lx_6IJhG_normal.jpg",-118.2436849,34.0522342
"red_pill_show","Trumper, Brexiteer, anti-globalist, alt-righter, nationalist from Adelaide, Australia.",1647,75,2342,182,"https://t.co/DNlMqu10SR","Red Pill Show",2016-02-19 03:14:20,FALSE,FALSE,"red_pill_show","Adelaide, Australia","en","700518750567604224",5,FALSE,"http://pbs.twimg.com/profile_images/700524353645981697/XTlM03jC_normal.png",138.6007456,-34.9284989
"CAPMohan","Unlike that Vatican's stooge",60224,755,1554,929,NA,"St. P.Mohan",2010-06-22 15:36:58,FALSE,FALSE,"CAPMohan","","en","158399728",46,FALSE,"http://pbs.twimg.com/profile_images/773466166983397376/YY_bWc3I_normal.jpg",NA,NA
"topher46and2","Proud Dad, #VOL for life,Patriot,love the outdoors, #dogs, #videogames , #movies,honesty,#GoVols #MAGA #AmericaFirst",5252,586,7960,1063,NA,"P.O.T.U.S TRUMP Ì†ΩÌ∏ÜÌ†ΩÌ∏Ü",2016-08-08 04:40:45,FALSE,FALSE,"topher46and2","Tn.","en","762508826004172801",14,FALSE,"http://pbs.twimg.com/profile_images/798478411563941888/sB9fE_WT_normal.jpg",-86.5804473,35.5174913
"OnlyDespairNow","",5327,166,10592,278,NA,"DesperateForTruth",2008-11-27 23:01:47,FALSE,FALSE,"OnlyDespairNow","","en","17692404",25,FALSE,"http://pbs.twimg.com/profile_images/787111592215191552/VUtZrpYN_normal.jpg",NA,NA
