"","lat","long","accuracy","formatted_address","address_type","status","index"
"90",35.5584932,-75.4665158,"establishment","Outer Banks, Kinnakeet, NC, USA","establishment,natural_feature","OK",89
"91",40.4167022,-86.8752869,"locality","Lafayette, IN, USA","locality,political","OK",90
"92",31.9685988,-99.9018131,"administrative_area_level_1","Texas, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",91
"93",42.2625932,-71.8022934,"locality","Worcester, MA, USA","locality,political","OK",92
"94",40.7127837,-74.0059413,"locality","New York, NY, USA","locality,political","OK",93
"95",36.1626638,-86.7816016,"locality","Nashville, TN, USA","locality,political","OK",94
"96",33.6839473,-117.7946942,"locality","Irvine, CA, USA","locality,political","OK",95
"97",33.7700504,-118.1937395,"locality","Long Beach, CA, USA","locality,political","OK",96
"98",40.3382543,-74.585292,"administrative_area_level_3","Plainsboro Township, NJ, USA","administrative_area_level_3,political","OK",97
"99",40.2911809,-79.9319942,"locality","Jefferson Hills, PA, USA","locality,political","OK",98
"100",36.778261,-119.4179324,"administrative_area_level_1","California, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",99
"101",25.7616798,-80.1917902,"locality","Miami, FL, USA","locality,political","OK",100
"102",36.548434,-82.5618186,"locality","Kingsport, TN, USA","locality,political","OK",101
"103",30.267153,-97.7430608,"locality","Austin, TX, USA","locality,political","OK",102
"104",40.7127837,-74.0059413,"locality","New York, NY, USA","locality,political","OK",103
"105",39.0457549,-76.6412712,"administrative_area_level_1","Maryland, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",104
"106",31.9685988,-99.9018131,"administrative_area_level_1","Texas, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",105
"107",27.6648274,-81.5157535,"administrative_area_level_1","Florida, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",106
"108",31.9685988,-99.9018131,"administrative_area_level_1","Texas, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",107
"109",39.1856597,-78.1633341,"locality","Winchester, VA 22601, USA","locality,political","OK",108
"110",26.1224386,-80.1373174,"locality","Fort Lauderdale, FL, USA","locality,political","OK",109
"111",27.0997775,-82.4542632,"locality","Venice, FL, USA","locality,political","OK",110
"112",39.7628227,-86.3997167,"locality","Avon, IN, USA","locality,political","OK",111
"113",39.7628227,-86.3997167,"locality","Avon, IN, USA","locality,political","OK",112
"114",39.7628227,-86.3997167,"locality","Avon, IN, USA","locality,political","OK",113
"115",38.8026097,-116.419389,"administrative_area_level_1","Nevada, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",114
"116",38.8026097,-116.419389,"administrative_area_level_1","Nevada, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",115
"117",33.2342834,-97.5861393,"locality","Decatur, TX 76234, USA","locality,political","OK",116
"118",32.1656221,-82.9000751,"administrative_area_level_1","Georgia, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",117
"119",40.5649781,-111.8389726,"locality","Sandy, UT, USA","locality,political","OK",118
"120",32.1656221,-82.9000751,"administrative_area_level_1","Georgia, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",119
"121",40.8257625,-96.6851982,"locality","Lincoln, NE, USA","locality,political","OK",120
"122",42.2711311,-89.0939952,"locality","Rockford, IL, USA","locality,political","OK",121
"123",32.1656221,-82.9000751,"administrative_area_level_1","Georgia, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",122
"124",47.8005714,-119.9885706,"locality","Chelan Falls, WA, USA","locality,political","OK",123
"125",38.6631083,-90.5770675,"locality","Chesterfield, MO, USA","locality,political","OK",124
"126",35.5084935,-78.3394455,"locality","Smithfield, NC 27577, USA","locality,political","OK",125
"127",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",126
"128",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",127
"129",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",128
"130",33.4151843,-111.8314724,"locality","Mesa, AZ, USA","locality,political","OK",129
"131",34.483901,-114.3224548,"locality","Lake Havasu City, AZ, USA","locality,political","OK",130
